0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
57.0,2.0,5.0,-5.0,8.0,6.0,-3.0,8.0,76.0,22.0,81.0,27.0,43.0,-14.0,85.0,5.0,2
53.0,24.0,19.0,26.0,34.0,37.0,45.0,46.0,21.0,34.0,32.0,40.0,34.0,31.0,35.0,35.0,2
12.0,44.0,47.0,28.0,31.0,23.0,20.0,-2.0,-18.0,20.0,3.0,10.0,6.0,0.0,8.0,-15.0,2
-106.0,-17.0,-9.0,-16.0,-15.0,-10.0,-4.0,-3.0,-44.0,11.0,-17.0,-26.0,-37.0,-37.0,23.0,23.0,2
94.0,-16.0,1.0,0.0,-3.0,-7.0,-10.0,10.0,14.0,42.0,10.0,4.0,-10.0,-31.0,-1.0,83.0,2
39.0,-46.0,-29.0,-36.0,-29.0,-28.0,-32.0,-14.0,7.0,-38.0,-12.0,-19.0,-22.0,-57.0,-46.0,-35.0,2
13.0,15.0,20.0,7.0,7.0,6.0,10.0,12.0,12.0,9.0,7.0,6.0,4.0,5.0,5.0,7.0,2
29.0,44.0,48.0,42.0,31.0,26.0,25.0,29.0,36.0,32.0,24.0,27.0,26.0,25.0,25.0,22.0,2
28.0,16.0,-5.0,5.0,20.0,21.0,20.0,21.0,26.0,21.0,26.0,22.0,20.0,19.0,17.0,15.0,2
107.0,43.0,45.0,50.0,47.0,51.0,42.0,37.0,59.0,57.0,59.0,59.0,58.0,68.0,71.0,66.0,2
81.0,39.0,21.0,17.0,21.0,19.0,10.0,23.0,14.0,35.0,21.0,19.0,17.0,13.0,14.0,13.0,2
3.0,37.0,49.0,42.0,40.0,47.0,42.0,42.0,35.0,35.0,34.0,34.0,37.0,44.0,43.0,46.0,2
-66.0,-49.0,-54.0,-43.0,-45.0,-46.0,-75.0,-68.0,-43.0,-36.0,-35.0,-31.0,-32.0,-32.0,-33.0,-29.0,2
-20.0,-5.0,-9.0,-11.0,-11.0,-8.0,-8.0,-6.0,-12.0,-8.0,2.0,2.0,0.0,-1.0,-8.0,-13.0,2
150.0,62.0,35.0,57.0,58.0,55.0,40.0,-5.0,-38.0,38.0,-8.0,32.0,21.0,15.0,24.0,-15.0,2
72.0,60.0,74.0,4.0,10.0,17.0,4.0,16.0,96.0,-5.0,40.0,35.0,44.0,72.0,93.0,14.0,2
78.0,38.0,40.0,28.0,33.0,37.0,33.0,25.0,37.0,40.0,39.0,31.0,31.0,34.0,25.0,29.0,2
-152.0,21.0,7.0,-2.0,-18.0,-16.0,-14.0,-64.0,-108.0,-27.0,-116.0,-105.0,-81.0,-80.0,-47.0,-103.0,2
38.0,55.0,33.0,41.0,22.0,8.0,23.0,49.0,-2.0,17.0,7.0,15.0,6.0,1.0,-7.0,-22.0,2
34.0,58.0,54.0,42.0,40.0,44.0,40.0,30.0,27.0,49.0,27.0,42.0,35.0,35.0,30.0,32.0,2
-13.0,6.0,7.0,1.0,8.0,13.0,22.0,23.0,-32.0,-1.0,-25.0,-8.0,-14.0,-15.0,-20.0,-18.0,2
305.0,-65.0,-47.0,-42.0,-45.0,-53.0,-33.0,-12.0,40.0,-15.0,10.0,-3.0,-13.0,-33.0,-16.0,-9.0,2
